Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2023_q2,,Hysteroscopy,,Zone 2,Aberdeen Hospital,2023,2,30,68,39,62
2023_q3,,Hernia Repair  (Pediatric),,IWK,IWK,2023,3,114,228,119,361
2023_q3,,Kidney Stone Surgery,,Zone 3,Cape Breton Regional,2023,3,,,36,387
2022_q3,,Gallbladder Surgery,,Zone 1,Yarmouth Regional,2022,3,23,100,30,49
2022_q3,,Back Surgery  (Pediatric),,Total,Provincial,2022,3,,,184,332
2023_q2,,Hernia Repair  (Adult),,Zone 3,St. Martha's Regional,2023,2,17,106,228,310
12month_rolling,Orthopaedic,Knee Scope,"Sequeira, Stanislaus",,,,,109,119,62,150
2023_q2,,Cardiovascular Surgery,,Total,Provincial,2023,2,,,10,91
3month_rolling,,Hemorrhoidectomy,,Zone 2,Colchester East Hants Health Centre,2024,3,107,156,,
12month_rolling,Urology,All,"Butler, Trevor",,,,,22,335,44,179
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 2,Cumberland Regional,2024,3,36,97,50,150
12month_rolling,Obstetrics/Gynaecology,All,"Pearsall, Jessica",,,,,33,497,43,134
12month_rolling,,Hysteroscopy,,Zone 1,Yarmouth Regional,2024,3,42,134,47,94
2023_q4,,Cataract Surgery,,Total,Provincial,2023,4,101,267,63,242
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Lapierre, Stephanie",,,,,17,51,20,46
2023_q4,,Endometrial Ablation,,Zone 2,Aberdeen Hospital,2023,4,,,46,184
2024_q1,,Sacral Nerve Stimulation,,Total,Provincial,2024,1,,,133,162
2023_q2,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2023,2,57,278,57,188
12month_rolling,Thoracic Surgery,Lung Surgery,"Henteleff, Harry J",,,,,14,23,32,55
2024_q1,,Shoulder Arthroscopy,,Zone 1,Yarmouth Regional,2024,1,106,293,149,234
12month_rolling,,Hysteroscopy,,Zone 1,Valley Regional,2024,3,50,352,62,204
12month_rolling,Otolaryngology (ENT),All,"Corsten, Martin",,,,,19,58,39,414
12month_rolling,General Surgery,Hernia Repair  (Adult),"Nader, Nabil",,,,,35,98,90,216
2023_q2,,Hernia Repair  (Adult),,Zone 3,Cape Breton Regional,2023,2,76,317,140,406
2022_q4,,Chest Scopes  (Adult),,Total,Provincial,2022,4,10,17,13,41
12month_rolling,,Peritoneal Lavage or Catherization,,Zone 1,Yarmouth Regional,2024,3,3,6,6,7
12month_rolling,Orthopaedic,Knee Scope,"Clarke, Gregory",,,,,68,69,201,408
2023_q1,,Hip Replacement,,Total,Provincial,2023,1,149,421,190,651
12month_rolling,,Bariatric Surgery (for Weight Loss),,Zone 4,QE2,2024,3,95,168,267,413
2023_q2,,Nissen Fundoplication - Laparoscopic,,Zone 4,QE2,2023,2,47,119,154,483
2024_q2,,Bowel Resection - Laparoscopic,,Total,Provincial,2024,2,16,91,33,90
12month_rolling,,Hernia Repair - Ventral,,Zone 1,Yarmouth Regional,2024,3,,,62,64
2024_q1,,Cystoscopy,,Zone 4,QE2,2024,1,33,111,51,253
12month_rolling,,Bone / Cartilage Graft,,Zone 3,Cape Breton Regional,2024,3,,,210,265
12month_rolling,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2024,3,19,66,28,113
3month_rolling,,Male Circumcision  (Adult),,Zone 4,Hants Community Hospital,2024,3,110,176,97,214
3month_rolling,Cardiac Surgery,,,,,2024,3,,,30,120
2023_q2,,Knee Replacement,,Total,Provincial,2023,2,161,510,258,633
2023_q3,,Pancreas Surgery,,Total,Provincial,2023,3,14,64,36,64
2024_q2,,Insertion Vascular Access Catheter,,Total,Provincial,2024,2,11,130,11,97
